sample_ID,collection_date,atoll,island,treatment,phase,fork_length_cm,whole_wt_kg,sex,macro_stage,gonad_lobes,gonad weight_g,histo_stage,otolith_wt_g,age_final,N15,N_percent
CSo-001,04-Mar-19,Peros Banhos,Ile AnglaisePB,ratty,IP,22.7,0.24,f,unk,0,na,na,0.02073,6,,
CSo-002,04-Mar-19,Peros Banhos,Ile AnglaisePB,ratty,IP,21.5,0.19,f,unk,0,na,na,0.01495,3,,
CSo-003,04-Mar-19,Peros Banhos,Ile AnglaisePB,ratty,IP,22.2,0.23,f,unk,0,na,na,0.01843,5,,
CSo-015,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,25,0.31,f,active,2,2.4,3,0.02628,6,9.87,13.49
CSo-016,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,21.8,0.23,f,active,2,2.9,3,0.01988,6,9.66,14.21
CSo-017,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,22.6,0.21,f,active,2,1.6,3,0.02079,5,9.96,13.61
CSo-018,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,22.3,0.27,f,active,2,2.7,3,0.02003,6,9.67,13.5
CSo-019,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,21.8,0.19,f,active,2,2.2,3,0.01934,5,9.9,12.98
CSo-020,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,22.2,0.23,f,immature,2,0.2,na,0.01557,5,,
CSo-021,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,24.3,0.27,f,active,2,4,3,0.02231,6,9.91,13.53
CSo-022,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,20.2,0.16,f,active,2,1.6,3,0.01542,3,9.8,13.54
CSo-023,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,20.4,0.18,f,active,2,2.7,3,0.01337,3,10.16,13.41
CSo-024,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,21.6,0.2,f,active,2,2.3,3,0.01727,5,10.18,13.48
CSo-025,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,22.2,0.25,f,active,2,3.1,3,0.01932,4,9.87,13.21
CSo-026,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,22.4,0.23,f,active,2,2.7,3,0.01965,5,9.58,14.02
CSo-027,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,22.4,0.24,f,active,2,2.6,3,0.01845,4,9.88,13.75
CSo-028,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,20.5,0.2,f,active,2,1.8,3,0.01397,4,9.43,14.26
CSo-029,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,18.2,0.13,f,active,2,3.5,3,0.01029,2,10.09,13.96
CSo-030,05-Mar-19,Peros Banhos,Diamante PB,ratty,IP,19.6,0.16,f,active,2,1.5,3,0.01145,2,10.13,14.23
