Year,Atoll,Island,Treatment,Transect,Area,Family,Species,Function,Structure,Coral_cover,Length,Biomass,Abundance
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Chlorurus_sordidus,Herbivore,3,20,12,2.6,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Chlorurus_sordidus,Herbivore,3,20,13,3.3,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,3,20,19,10.2,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Scarus_niger,Herbivore,3,20,19,9.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Scarus_niger,Herbivore,3,20,20,11.5,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Scarus_niger,Herbivore,3,20,22,15.5,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Scarus_niger,Herbivore,3,20,30,41.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Scarus_rubroviolaceus,Herbivore,3,20,42,103.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,1,150,Scaridae,Scarus_tricolor,Herbivore,3,20,22,14.9,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,12,2.6,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,14,4.2,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,14,4.2,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,23,17.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,24,20.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,26,25.5,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,30,38.7,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_sordidus,Herbivore,3,8.33,34,55.9,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,3,8.33,36,66.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,3,8.33,39,83.5,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,3,8.33,42,103.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,3,8.33,42,103.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,3,8.33,42,103.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Scarus_frenatus,Herbivore,3,8.33,42,172.4,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Scarus_ghobban,Herbivore,3,8.33,22,14,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Scarus_niger,Herbivore,3,8.33,17,6.9,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Scarus_niger,Herbivore,3,8.33,20,11.5,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Scarus_rubroviolaceus,Herbivore,3,8.33,32,46.8,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,2,150,Scaridae,Scarus_tricolor,Herbivore,3,8.33,32,45.6,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,150,Scaridae,Chlorurus_sordidus,Herbivore,2.5,1.67,15,5.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,150,Scaridae,Chlorurus_sordidus,Herbivore,2.5,1.67,15,5.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,150,Scaridae,Chlorurus_sordidus,Herbivore,2.5,1.67,15,5.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,150,Scaridae,Chlorurus_sordidus,Herbivore,2.5,1.67,29,35.1,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,150,Scaridae,Chlorurus_sordidus,Herbivore,2.5,1.67,33,51.2,66.7
2018,Great_Chagos_Bank,Middle_Brother,No_rats,3,150,Scaridae,Chlorurus_strongylocephalus,Herbivore,2.5,1.67,34,55.9,66.7
